Designator,Mid X,Mid Y,Rotation,Layer
D1,107.25,-49.75,0.0,top
D2,103.25,-49.75,0.0,top
D3,95.75,-49.5,0.0,top
J1,93.4,-52.0,90.0,top
J2,95.35,-54.5,90.0,top
J3,102.55,-54.75,90.0,top
