Designator,Mid X,Mid Y,Rotation,Layer
D1,107.04,-103.3175,0.0,top
D2,107.04,-105.2175,0.0,top
D3,107.04,-94.9425,0.0,top
D4,107.04,-96.8425,0.0,top
D9,106.43,-99.9975,90.0,top
J1,112.9,-94.0,0.0,top
J2,116.0,-97.67,0.0,top
J4,116.2,-93.4,0.0,top
J5,116.2,-102.6,0.0,top
